rand_eff_dgp,stat,n_l3,method,coverage_50_estimate,coverage_50_ci_low,coverage_50_ci_high,coverage_90_estimate,coverage_90_ci_low,coverage_90_ci_high,coverage_95_estimate,coverage_95_ci_low,coverage_95_ci_high
lognorm,mu,15,cases-double-boot,0.514,0.47,0.558,0.894,0.864,0.92,0.968,0.95,0.982
lognorm,mu,15,cases-percentile-boot,0.514,0.47,0.558,0.878,0.848,0.904,0.932,0.908,0.952
lognorm,mu,15,parametric-percentile-boot,0.434,0.392,0.478,0.832,0.798,0.864,0.872,0.84,0.9
lognorm,mu,15,profile-likelihood,0.452,0.408,0.496,0.84,0.806,0.87,0.894,0.864,0.92
lognorm,mu,50,cases-double-boot,0.444,0.402,0.488,0.884,0.854,0.91,0.964,0.944,0.978
lognorm,mu,50,cases-percentile-boot,0.476,0.432,0.52,0.89,0.86,0.916,0.946,0.922,0.964
lognorm,mu,50,parametric-percentile-boot,0.428,0.386,0.472,0.838,0.804,0.8680000000000001,0.898,0.8679999999999999,0.922
lognorm,mu,50,profile-likelihood,0.424,0.382,0.468,0.848,0.814,0.878,0.904,0.876,0.928
lognorm,sd_l2,15,cases-double-boot,0.31,0.27,0.352,0.652,0.61,0.694,0.756,0.716,0.792
lognorm,sd_l2,15,cases-percentile-boot,0.372,0.33,0.416,0.594,0.552,0.638,0.666,0.624,0.706
lognorm,sd_l2,15,parametric-percentile-boot,0.194,0.162,0.23,0.402,0.36,0.446,0.448,0.406,0.492
lognorm,sd_l2,15,profile-likelihood,0.202,0.168,0.238,0.408,0.366,0.452,0.478,0.436,0.522
lognorm,sd_l2,50,cases-double-boot,0.36,0.318,0.404,0.812,0.776,0.844,0.892,0.862,0.916
lognorm,sd_l2,50,cases-percentile-boot,0.398,0.356,0.442,0.69,0.648,0.73,0.754,0.714,0.79
lognorm,sd_l2,50,parametric-percentile-boot,0.142,0.11400000000000002,0.176,0.356,0.314,0.398,0.426,0.382,0.468
lognorm,sd_l2,50,profile-likelihood,0.14,0.112,0.174,0.366,0.324,0.41000000000000003,0.43,0.386,0.474
lognorm,sd_l3,15,cases-double-boot,0.292,0.252,0.332,0.496,0.452,0.54,0.53,0.486,0.574
lognorm,sd_l3,15,cases-percentile-boot,0.35,0.308,0.392,0.692,0.65,0.73,0.77,0.732,0.806
